,GeoUID,Shape.Area,name,Adjusted.Population..previous.Census.,PR_UID,Type,Region.Name,Area..sq.km.,Population,Dwellings,Households,LowIncome,LowIncPercent,Aboriginal,AborigPercent,VisMinority,VisMinorityPercent
64,2417,2113.87453,L'Islet (MRC),18517,24,CD,L'Islet (MRC),2113.87453,17798,9924,8023,14.8,0.000799266,160,0.008640709,30,0.001620133
65,2418,1710.04446,Montmagny (MRC),22877,24,CD,Montmagny (MRC),1710.04446,22698,12079,10421,15.9,0.000695021,240,0.010490886,150,0.006556804
66,2419,1765.6323,Bellechasse (MRC),35318,24,CD,Bellechasse (MRC),1765.6323,37233,17740,15625,10.5,0.000297299,320,0.009060536,485,0.013732374
67,2420,192.94887,L'Île-d'Orléans (MRC),6711,24,CD,L'Île-d'Orléans (MRC),192.94887,7082,3703,3040,7.1,0.001057965,45,0.006705409,110,0.016391
68,2421,5028.31803,La Côte-de-Beaupré (MRC),26172,24,CD,La Côte-de-Beaupré (MRC),5028.31803,28199,14244,11851,7.6,0.000290387,215,0.008214886,325,0.012417851
69,2422,3337.69725,La Jacques-Cartier (MRC),36929,24,CD,La Jacques-Cartier (MRC),3337.69725,43485,18401,16332,4.5,0.000121855,715,0.019361477,470,0.012727125
70,2423,557.38063,Québec (Tï¿½),551856,24,CD,Québec (Tï¿½),557.38063,569717,282180,267144,11.8,2.13824E-05,9180,0.016634774,34175,0.061927387
71,2425,455.17739,Lévis (Tï¿½),138769,24,CD,Lévis (Tï¿½),455.17739,143414,62585,60779,7.1,5.11642E-05,1255,0.009043807,3125,0.022519439
72,2426,915.11903,La Nouvelle-Beauce (MRC),35107,24,CD,La Nouvelle-Beauce (MRC),915.11903,36785,15501,14791,8.1,0.000230723,375,0.01068163,465,0.013245222
73,2427,847.08485,Robert-Cliche (MRC),19288,24,CD,Robert-Cliche (MRC),847.08485,19125,8698,8002,12.8,0.000663625,215,0.011146827,205,0.01062837
74,2428,1824.58861,Les Etchemins (MRC),17254,24,CD,Les Etchemins (MRC),1824.58861,16536,8764,7322,13.9,0.00080561,130,0.007534485,205,0.011881303
75,2429,1976.08338,Beauce-Sartigan (MRC),51011,24,CD,Beauce-Sartigan (MRC),1976.08338,52406,24195,22861,12.7,0.000248966,625,0.012252259,530,0.010389916
76,2430,2830.25466,Le Granit (MRC),22210,24,CD,Le Granit (MRC),2830.25466,21462,12478,9559,15.2,0.000684376,390,0.017559658,140,0.006303467
77,2431,1984.52147,Les Appalaches (MRC),43120,24,CD,Les Appalaches (MRC),1984.52147,42346,22714,19669,16.1,0.000373377,415,0.009624304,365,0.00846475
78,2432,1302.14335,L'Érable (MRC),23366,24,CD,L'Érable (MRC),1302.14335,23425,11315,10270,14.2,0.000607721,155,0.00663357,155,0.00663357
79,2433,1667.551,Lotbinière (MRC),29617,24,CD,Lotbinière (MRC),1667.551,31741,14642,13352,10.5,0.000354526,330,0.011142249,225,0.007596988
80,2434,4077.73181,Portneuf (MRC),49370,24,CD,Portneuf (MRC),4077.73181,53008,26586,23137,11.7,0.000236986,625,0.01265951,450,0.009114847
81,2435,5602.74461,Mékinac (MRC),12924,24,CD,Mékinac (MRC),5602.74461,12358,8324,6013,19.8,0.001532033,120,0.009285051,70,0.00541628
82,2436,803.89533,Shawinigan (Tï¿½),50060,24,CD,Shawinigan (Tï¿½),803.89533,49349,26953,24410,21.7,0.00043348,770,0.015381542,615,0.012285258
83,2437,1178.64645,Francheville (CDR),149203,24,CD,Francheville (CDR),1178.64645,153030,76859,71357,17.5,0.00011729,2010,0.013471579,4720,0.031634753
84,2438,1152.97439,Bécancour (MRC),20081,24,CD,Bécancour (MRC),1152.97439,20404,9947,9041,14.8,0.000737015,365,0.018176386,160,0.007967731
85,2439,1911.08708,Arthabaska (MRC),69237,24,CD,Arthabaska (MRC),1911.08708,72014,33483,31447,14.9,0.000215203,610,0.008810318,1340,0.019353814
86,2440,792.02383,Les Sources (MRC),14756,24,CD,Les Sources (MRC),792.02383,14286,7226,6478,20,0.001355381,165,0.011181892,130,0.008809976
87,2441,2300.30935,Le Haut-Saint-François (MRC),22065,24,CD,Le Haut-Saint-François (MRC),2300.30935,22335,11203,9581,16.9,0.000765919,405,0.018354861,185,0.008384319
88,2442,1429.65358,Le Val-Saint-François (MRC),29654,24,CD,Le Val-Saint-François (MRC),1429.65358,30686,14359,13015,12.5,0.000421528,310,0.010453902,175,0.005901396
89,2443,365.90834,Sherbrooke (Tï¿½),154601,24,CD,Sherbrooke (Tï¿½),365.90834,161323,80341,73506,17.8,0.000115135,1715,0.011093072,11430,0.073932251
90,2444,1349.50308,Coaticook (MRC),18847,24,CD,Coaticook (MRC),1349.50308,18497,8747,7817,14,0.000742824,335,0.017774712,140,0.007428238
91,2445,1377.69286,Memphrémagog (MRC),48551,24,CD,Memphrémagog (MRC),1377.69286,50415,30430,22919,14.1,0.000290416,720,0.014829767,575,0.011843216
92,2446,1678.89253,Brome-Missisquoi (MRC),55621,24,CD,Brome-Missisquoi (MRC),1678.89253,58314,31470,25865,14.8,0.000266087,920,0.016540515,745,0.013394222
93,2447,648.75581,La Haute-Yamaska (MRC),85042,24,CD,La Haute-Yamaska (MRC),648.75581,88306,40364,38826,14.6,0.00017168,915,0.010759389,3125,0.036746549
